"Status","Name","Duration in ms","Description"
"passed","uiTest.LoginTest.testDeletePlayList","19009",""
"failed","uiTest.LoginTest.testFollow","7639",""
"passed","uiTest.LoginTest.testCreatePlayList","1405",""
"passed","uiTest.LoginTest.testLogout","6497",""
"passed","uiTest.LoginTest.testAddCompositionToPlayList","9226",""
"passed","uiTest.LoginTest.testLogin","15114",""
"passed","uiTest.LoginTest.testAddCompositionToPlayList","8453",""
"passed","uiTest.LoginTest.testAddCompositionToPlayList","10207",""
"passed","uiTest.LoginTest.testDeleteCompositionToPlayList","10696",""
